Weather_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
160,Chuy,UY,-33.7,-53.46,84.15,55,95,10.4,overcast clouds
161,East London,ZA,-33.02,27.91,66.2,55,0,17.22,clear sky
162,Zhanaozen,KZ,43.3,52.8,26.98,94,0,6.67,clear sky
163,Haputale,LK,6.77,80.96,62.62,100,100,3.22,light rain
164,Bani Walid,LY,31.76,13.99,61.03,70,0,10.16,clear sky
165,Morondava,MG,-20.28,44.28,82.2,76,15,8.72,few clouds
166,Yellowknife,CA,62.46,-114.35,14.0,85,90,11.41,light snow
167,Hornepayne,CA,49.21,-84.77,18.27,88,100,8.12,overcast clouds
168,Pyshma,RU,56.95,63.25,19.04,94,100,10.54,overcast clouds
169,Emerald,AU,-23.53,148.17,75.2,69,40,8.05,thunderstorm
170,Huron,US,41.15,-82.55,39.99,76,100,3.0,overcast clouds
171,Pevek,RU,69.7,170.31,13.53,96,100,1.97,overcast clouds
172,Manado,ID,1.49,124.85,77.0,94,40,1.12,scattered clouds
173,Chokurdakh,RU,70.63,147.92,-1.05,93,100,7.47,overcast clouds
174,Norman Wells,CA,65.28,-126.83,-7.6,83,75,5.82,light snow
175,Sainte-Martine,CA,45.25,-73.8,26.01,53,0,9.17,clear sky
176,Touros,BR,-5.2,-35.46,82.4,69,75,16.11,broken clouds
177,Ponta Do Sol,PT,32.67,-17.1,68.0,72,40,5.82,scattered clouds
178,Manakara,MG,-22.13,48.02,73.9,85,8,9.08,clear sky
179,Bathsheba,BB,13.22,-59.52,86.0,66,40,19.46,scattered clouds
180,Tiarei,PF,-17.53,-149.33,80.6,78,40,5.82,scattered clouds
181,Cayenne,GF,4.93,-52.33,87.8,66,75,8.05,broken clouds
182,Deputatskiy,RU,69.3,139.9,-19.84,88,58,8.21,broken clouds
183,The Valley,AI,18.22,-63.06,87.8,70,20,11.41,few clouds
184,Floro,NO,61.6,5.03,48.2,76,75,11.41,light rain
185,Chitaga,CO,7.14,-72.66,78.8,69,40,4.54,scattered clouds
186,Kulhudhuffushi,MV,6.62,73.07,82.2,63,14,6.24,few clouds
187,Koungou,YT,-12.73,45.2,82.4,74,0,4.7,clear sky
188,Marawi,PH,8.0,124.29,77.0,93,96,3.0,overcast clouds
189,Beringovskiy,RU,63.05,179.32,27.28,96,95,2.17,light snow
190,Salalah,OM,17.02,54.09,80.6,69,0,3.36,clear sky
191,Bandar,ID,2.05,99.75,72.37,94,100,1.66,moderate rain
192,Sitka,US,57.05,-135.33,44.6,65,90,16.11,overcast clouds
193,Yei,SS,4.09,30.68,75.49,67,80,1.03,broken clouds
194,Goderich,CA,43.75,-81.72,37.99,67,75,11.16,broken clouds
195,Port Hawkesbury,CA,45.62,-61.35,34.0,74,90,29.97,light rain
196,Chkalovsk,RU,56.76,43.24,33.8,100,90,6.71,moderate rain
197,Hilo,US,19.73,-155.09,71.6,88,75,2.91,broken clouds
198,Lagoa,PT,39.05,-27.98,57.31,63,46,18.05,scattered clouds
199,Sao Filipe,CV,14.9,-24.5,80.29,70,80,8.55,broken clouds
200,Turkmenabat,TM,39.07,63.58,39.2,41,75,4.7,broken clouds
201,Funtua,NG,11.52,7.31,81.21,30,21,6.35,few clouds
202,Nikolskoye,RU,59.7,30.79,36.0,87,90,11.18,overcast clouds
203,Seoul,KR,37.57,126.98,32.0,61,20,2.8,few clouds
204,Bataipora,BR,-22.3,-53.27,96.49,26,0,4.99,clear sky
205,Stephenville Crossing,CA,48.5,-58.43,37.4,87,90,29.97,overcast clouds
206,Vredendal,ZA,-31.67,18.5,64.17,65,0,15.32,clear sky
207,Castro,BR,-24.79,-50.01,81.27,39,0,2.44,clear sky
208,Buribay,RU,51.96,58.16,19.99,94,99,6.08,overcast clouds
209,Pisco,PE,-13.7,-76.22,70.0,64,0,10.29,clear sky
210,Nome,US,64.5,-165.41,28.4,92,90,29.97,heavy snow
211,Agadir,MA,30.42,-9.6,71.6,40,0,16.11,clear sky
