City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
246,Sale,MA,64.4,few clouds,34.04,-6.82,Hôtel Mercure Rabat Sheherazade
247,Sawakin,SD,80.38,clear sky,19.11,37.33,فندق الدويم
252,Padang,ID,76.44,moderate rain,-0.95,100.35,Mercure Padang
253,Porto Novo,BJ,87.8,few clouds,6.5,2.6,Tour Eiffel Hotel Benin
254,Salinopolis,BR,84.67,light rain,-0.61,-47.36,Salinas Park Resort Maçarico AP101
255,Oranjestad,AW,86.0,scattered clouds,12.52,-70.03,Divi Village Golf & Beach Resort
257,Loikaw,MM,63.88,few clouds,19.67,97.21,Myat Nan Taw Hotel
262,Kiunga,PG,74.03,heavy intensity rain,-6.12,141.29,Airport Lodge Kiunga
264,Shingu,JP,52.09,clear sky,33.73,135.98,Shingu UI Hotel
266,Naze,JP,69.8,overcast clouds,28.37,129.48,奄美ポートタワーホテル
269,Bintulu,MY,77.0,scattered clouds,3.17,113.03,900 Boutique INN
270,Isangel,VU,74.48,clear sky,-19.55,169.27,Volcano Sea View Tree House
271,Jasidih,IN,62.76,few clouds,24.52,86.65,Hotel Alkapuri Guest House
274,Kawhia,NZ,60.01,moderate rain,-38.07,174.82,Kawhia Beachside Scape Holiday Park
275,Caala,AO,65.21,moderate rain,-12.85,15.56,Cáala Hotel
276,Punta De Bombon,PE,67.28,overcast clouds,-17.17,-71.79,Hotel Bedregal
277,Riyadh,SA,68.0,clear sky,24.69,46.72,InterContinental Riyadh
278,Iracoubo,GF,82.62,light rain,5.48,-53.2,Le Gite D Iracoubo
280,San Cristobal,VE,86.0,scattered clouds,7.77,-72.22,Pirineos
281,Tezu,IN,62.51,clear sky,27.92,96.17,Circuit House
283,Kisangani,CD,72.36,overcast clouds,0.52,25.2,Grand Ramela Hotel
284,Lodwar,KE,89.94,broken clouds,3.12,35.6,Turkwel Lodge
286,Bima,ID,78.73,light rain,-8.47,118.72,Lambitu Hotel
287,Dzilam Gonzalez,MX,83.43,few clouds,21.28,-88.93,Hotel - Video Bar Familiar Otis
288,Vila Velha,BR,78.01,heavy intensity rain,-20.33,-40.29,Hotel Vitória Palace
289,Tazmalt,DZ,60.8,scattered clouds,36.39,4.4,Hôtel Numédia
290,Nishihara,JP,71.6,broken clouds,26.18,127.76,Minshuku Agaihama
292,Cabo San Lucas,MX,82.0,broken clouds,22.89,-109.91,Hotel Tesoro Los Cabos
294,Key Largo,US,80.01,few clouds,25.09,-80.45,Bayside Inn Key Largo
297,Port Blair,IN,81.59,few clouds,11.67,92.75,Fortune Resort Bay Island
300,Plettenberg Bay,ZA,59.13,light rain,-34.05,23.37,Thanda Vista B&B
