City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
143,Fenoarivo,MG,2020-11-20 01:14:57,-18.93,47.44,59.0,82,20,1.12
144,Saint-Philippe,RE,2020-11-20 01:14:57,-21.36,55.77,69.8,56,20,9.17
145,Pombas,CV,2020-11-20 01:14:57,17.15,-25.02,77.0,73,75,14.99
146,Altay,CN,2020-11-20 01:14:58,47.87,88.12,4.53,64,0,4.0
147,Bonavista,CA,2020-11-20 01:14:58,48.65,-53.11,28.0,62,89,9.17
148,Puerto Escondido,MX,2020-11-20 01:14:58,15.85,-97.07,82.4,69,75,5.82
149,Abatskoye,RU,2020-11-20 01:14:58,56.29,70.46,16.23,93,3,14.36
150,Gore,NZ,2020-11-20 01:14:58,-46.1,168.94,64.99,83,100,3.0
151,Tombouctou,ML,2020-11-20 01:14:58,20.0,-3.0,71.94,21,4,9.78
152,Georgetown,MY,2020-11-20 01:11:12,5.41,100.34,80.6,94,20,4.7
153,Marrakesh,MA,2020-11-20 01:14:59,31.63,-8.01,62.6,42,0,2.95
154,Alice Springs,AU,2020-11-20 01:14:16,-23.7,133.88,95.0,12,75,1.12
155,Kondinskoye,RU,2020-11-20 01:14:59,59.65,67.41,23.76,93,100,15.46
156,Muroto,JP,2020-11-20 01:12:20,33.28,134.15,69.8,100,75,1.12
157,Gazojak,TM,2020-11-20 01:15:00,41.19,61.4,16.05,75,0,9.82
158,Hamilton,US,2020-11-20 01:15:00,39.18,-84.53,59.0,30,1,13.87
159,Portland,US,2020-11-20 01:14:16,45.52,-122.68,48.0,87,98,3.0
160,Tamworth,GB,2020-11-20 01:14:59,52.63,-1.7,37.99,86,0,5.82
161,Udachnyy,RU,2020-11-20 01:15:01,66.42,112.4,1.4,84,0,4.47
162,Kodiak,US,2020-11-20 01:13:20,57.79,-152.41,37.4,93,90,8.55
163,Novopokrovka,UA,2020-11-20 01:15:01,49.84,36.55,24.8,100,90,6.71
164,Buford,US,2020-11-20 01:11:02,34.12,-84.0,44.6,70,1,5.59
165,Rabo De Peixe,PT,2020-11-20 01:15:02,37.8,-25.58,60.8,87,40,19.46
166,Hirara,JP,2020-11-20 01:15:02,24.8,125.28,78.8,88,40,9.17
167,Sitka,US,2020-11-20 01:15:03,57.05,-135.33,39.2,60,90,13.87
168,Ahuimanu,US,2020-11-20 01:15:03,21.44,-157.84,82.4,61,75,16.11
169,Juegang,CN,2020-11-20 01:15:03,32.32,121.19,59.0,79,94,1.99
170,East London,ZA,2020-11-20 01:15:04,-33.02,27.91,64.09,60,98,0.74
171,Rognan,NO,2020-11-20 01:15:04,67.1,15.39,34.0,85,100,3.0
172,Narsaq,GL,2020-11-20 01:12:37,60.92,-46.05,30.2,92,100,4.68
173,Ilulissat,GL,2020-11-20 01:15:05,69.22,-51.1,33.8,43,100,14.99
174,Iqaluit,CA,2020-11-20 01:11:29,63.75,-68.51,0.0,70,5,17.22
175,Muros,ES,2020-11-20 01:11:53,42.78,-9.06,53.01,81,0,4.0
176,Lakes Entrance,AU,2020-11-20 01:11:54,-37.88,147.98,82.99,36,1,5.01
177,Sechura,PE,2020-11-20 01:15:05,-5.56,-80.82,66.96,74,100,15.19
178,Sao Jose Da Tapera,BR,2020-11-20 01:10:54,-9.56,-37.38,78.96,66,97,13.04
179,Yining,CN,2020-11-20 01:15:06,29.04,114.56,56.7,75,74,2.08
180,Lebu,CL,2020-11-20 01:10:37,-37.62,-73.65,52.99,86,94,1.54
181,Moree,AU,2020-11-20 01:15:06,-29.47,149.85,84.2,30,0,16.11
182,Port Augusta,AU,2020-11-20 01:15:07,-32.5,137.77,88.0,72,4,14.99
183,Cascais,PT,2020-11-20 01:10:34,38.7,-9.42,68.0,63,0,8.01
184,Coquimbo,CL,2020-11-20 01:11:06,-29.95,-71.34,57.2,82,40,5.82
185,Alofi,NU,2020-11-20 01:15:07,-19.06,-169.92,77.0,81,75,3.36
186,Adrar,MR,2020-11-20 01:11:13,20.5,-10.07,70.56,25,99,9.78
187,Niteroi,BR,2020-11-20 01:15:08,-22.88,-43.1,73.99,94,90,19.46
188,Bengkulu,ID,2020-11-20 01:11:02,-3.8,102.27,79.27,81,100,3.56
189,Kerema,PG,2020-11-20 01:15:08,-7.96,145.78,85.89,67,94,6.15
190,Anshun,CN,2020-11-20 01:15:09,26.25,105.93,59.02,91,100,14.14
191,Batsfjord,NO,2020-11-20 01:15:09,70.63,29.72,36.54,87,100,30.02
192,Santa Rosa,PH,2020-11-20 01:15:09,14.31,121.11,87.01,70,20,3.36
193,Fort Nelson,CA,2020-11-20 01:15:02,58.81,-122.7,5.0,84,40,3.36
194,Qaqortoq,GL,2020-11-20 01:15:10,60.72,-46.03,30.2,92,100,9.33
195,San Patricio,US,2020-11-20 01:15:10,28.02,-97.52,73.4,64,20,10.29
196,Clyde River,CA,2020-11-20 01:15:10,70.47,-68.59,14.0,92,90,11.41
197,Autun,FR,2020-11-20 01:14:30,46.95,4.3,43.0,93,75,8.05
198,Kjollefjord,NO,2020-11-20 01:15:10,70.95,27.35,34.43,93,100,30.4
199,Copala,MX,2020-11-20 01:15:11,16.65,-98.98,78.8,61,55,1.54
200,Abbeville,FR,2020-11-20 01:15:11,50.1,1.83,37.99,79,16,0.94
201,Kavieng,PG,2020-11-20 01:15:11,-2.57,150.8,84.07,74,100,8.9
202,Hokitika,NZ,2020-11-20 01:15:11,-42.72,170.97,61.99,70,71,8.61
203,Aktau,KZ,2020-11-20 01:15:11,43.65,51.2,21.2,48,0,15.66
204,Sao Filipe,CV,2020-11-20 01:15:12,14.9,-24.5,78.93,70,41,7.56
205,Hilo,US,2020-11-20 01:15:12,19.73,-155.09,80.6,65,75,8.05
206,Bandarbeyla,SO,2020-11-20 01:15:12,9.49,50.81,74.41,76,100,18.21
207,Sarakhs,IR,2020-11-20 01:15:12,36.54,61.16,32.0,69,0,4.7
208,Bud,US,2020-11-20 01:15:12,39.45,-86.18,60.8,30,1,13.87
209,Belaya Gora,RU,2020-11-20 01:15:13,68.53,146.42,-5.15,88,100,3.22
210,Mitsamiouli,KM,2020-11-20 01:15:13,-11.38,43.28,79.12,75,1,8.37
211,Bay Village,US,2020-11-20 01:15:13,41.48,-81.92,64.4,25,75,23.04
212,Kapit,MY,2020-11-20 01:15:13,2.02,112.93,82.11,79,72,1.28
213,Husavik,IS,2020-11-20 01:15:14,66.04,-17.34,30.2,74,0,8.05
214,Chifeng,CN,2020-11-20 01:15:14,42.27,118.96,19.74,86,0,5.75
215,Broome,US,2020-11-20 01:15:14,42.25,-75.83,41.0,52,1,11.41
216,Sa Kaeo,TH,2020-11-20 01:11:06,13.75,102.33,80.13,76,0,2.62
217,Nantucket,US,2020-11-20 01:15:15,41.28,-70.1,51.8,71,75,24.16
218,Marfino,RU,2020-11-20 01:15:15,55.7,37.38,32.0,90,90,15.66
219,Inhambane,MZ,2020-11-20 01:15:15,-23.86,35.38,75.07,83,42,10.4
220,Airai,TL,2020-11-20 01:15:15,-8.93,125.41,77.0,48,93,3.53
221,Namwala,ZM,2020-11-20 01:15:16,-15.75,26.44,71.49,80,24,2.15
222,Port-Gentil,GA,2020-11-20 01:15:16,-0.72,8.78,78.78,87,100,11.1
